candidate_id,class_id,eligible,valid_fold_count,utility_median,utility_mean,utility_std
dwbg_1_12011_1_000313,1,False,0,,,
dwbg_1_12011_22_000325,1,False,0,,,
dwbg_1_12011_26_000328,1,False,0,,,
dwbg_1_12011_28_000329,1,True,3,0.2904325131229425,0.24270637367025275,0.07727346201958936
dwbg_1_12011_30_000331,1,True,3,0.1358383703652954,0.11904530749170171,0.14414308481007443
dwbg_1_12011_31_000332,1,True,3,0.24088489366728585,0.2265619675227871,0.02175411532450341
dwbg_1_12011_34_000335,1,True,3,0.2884737281517114,0.3007713612544812,0.036179909320825265
dwbg_1_15683_13_000394,1,False,0,,,
dwbg_1_15683_21_000402,1,False,0,,,
dwbg_1_15683_25_000405,1,False,0,,,
dwbg_1_15683_26_000406,1,True,3,-0.21524628810571095,-0.40658882363459387,0.33056609814753274
dwbg_1_15683_27_000407,1,False,0,,,
dwbg_1_15683_2_000400,1,False,0,,,
dwbg_1_15683_35_000411,1,False,0,,,
dwbg_1_15683_5_000413,1,True,3,0.1622810293985333,-0.06053124578914435,0.4482174001864427
dwbg_1_19997_21_000485,1,True,3,0.18359446518016556,0.1843958503305886,0.021241149698434013
dwbg_1_19997_24_000488,1,False,0,,,
dwbg_1_19997_30_000493,1,False,0,,,
dwbg_1_19997_33_000496,1,False,0,,,
dwbg_1_19997_34_000497,1,False,0,,,
dwbg_1_19997_5_000499,1,True,3,0.26636379049916237,0.16639893427219735,0.19635532502797978
dwbg_1_19997_7_000500,1,False,0,,,
dwbg_1_24571_11_000562,1,False,0,,,
dwbg_1_24571_12_000563,1,False,0,,,
dwbg_1_24571_14_000565,1,False,0,,,
dwbg_1_24571_16_000567,1,False,0,,,
dwbg_1_24571_18_000568,1,True,3,0.08351211195721207,0.13619978793105844,0.1313857087031125
dwbg_1_24571_20_000571,1,False,0,,,
dwbg_1_24571_23_000573,1,False,0,,,
dwbg_1_24571_24_000574,1,True,3,0.26993447816873023,0.24587463332759749,0.08426910269733254
dwbg_1_24571_32_000580,1,False,0,,,
dwbg_1_24571_34_000581,1,False,0,,,
dwbg_1_24571_35_000582,1,True,3,-0.032699047294191305,-0.07387387849337652,0.20744014824823076
dwbg_1_24571_7_000584,1,False,0,,,
dwbg_1_30103_1_000652,1,True,3,0.27708566328750434,0.22079112224368933,0.12359196111385452
dwbg_1_30103_20_000661,1,False,0,,,
dwbg_1_30103_22_000662,1,False,0,,,
dwbg_1_30103_2_000660,1,False,0,,,
dwbg_1_30103_30_000668,1,False,0,,,
dwbg_1_30103_31_000669,1,True,3,-0.23890280613641143,-0.1547681743783261,0.1477881679183636
dwbg_1_30103_34_000671,1,False,0,,,
dwbg_1_3407_12_000145,1,True,3,0.05094164848097514,-0.011682092588180723,0.23234909851489868
dwbg_1_3407_14_000146,1,False,0,,,
dwbg_1_3407_15_000147,1,True,3,0.33591171092336586,0.29437669844749376,0.09136873494746071
dwbg_1_3407_18_000150,1,False,0,,,
dwbg_1_3407_19_000151,1,False,0,,,
dwbg_1_3407_23_000155,1,True,3,-0.08259709218175129,-0.10872539997053439,0.07509333442223731
dwbg_1_3407_24_000156,1,False,0,,,
dwbg_1_3407_28_000158,1,True,3,-0.01858036822313398,-0.33729029035096936,0.6959777505371005
dwbg_1_3407_30_000159,1,False,0,,,
dwbg_1_3407_32_000161,1,False,0,,,
dwbg_1_42_13_000064,1,True,3,0.15799535687220378,-0.16455926033325405,0.4704302775587519
dwbg_1_42_16_000067,1,False,0,,,
