instance_id,image,gt_index,fold,class,yolo_iou,yolo_conf,yolo_status,rtdetr_iou,rtdetr_conf,rtdetr_status
fold1:blackinst_24:2,blackinst_24.jpg,2,1,1,0.8118937826881379,0.6011603474617004,success,0.939989631070444,0.06902193278074265,localized_low_conf
fold1:blackinst_34:0,blackinst_34.jpg,0,1,1,0.9401783987028738,0.8031701445579529,success,0.8733247927359258,0.10956860333681107,localized_low_conf
fold1:blackinst_34:1,blackinst_34.jpg,1,1,1,0.9067167328298712,0.7293618321418762,success,0.871610032445468,0.06701592355966568,localized_low_conf
fold1:blackinst_37:0,blackinst_37.jpg,0,1,1,0.816312770176148,0.7250880002975464,success,0.8569783641457702,0.7414274215698242,success
fold1:blackinst_8:0,blackinst_8.jpg,0,1,1,0.8018640480869295,0.36973321437835693,success,0.7330505043128331,0.0770951509475708,localized_low_conf
fold1:img_10012_pre_part_1:0,img_10012_pre_part_1.jpg,0,1,0,0.8787519348673908,0.6816015243530273,success,0.8531151308286359,0.7404769659042358,success
fold1:img_1023_pre_part_0:0,img_1023_pre_part_0.jpg,0,1,1,0.46561596332663086,0.6496528387069702,localization_failure,0.9268280191012115,0.09548279643058777,localized_low_conf
fold1:img_10510_pre_part_1:0,img_10510_pre_part_1.jpg,0,1,0,0.7446410559700124,0.0018915414111688733,localized_low_conf,0.7739836035668405,0.7486167550086975,success
fold1:img_11099_pre_part_0:0,img_11099_pre_part_0.jpg,0,1,0,0.8626094907138446,0.7196394205093384,success,0.8819872392280763,0.08440349251031876,localized_low_conf
fold1:img_1113_pre_part_0:0,img_1113_pre_part_0.jpg,0,1,1,0.3986190005534485,0.7453135251998901,localization_failure,0.644015710996492,0.08397353440523148,localized_low_conf
fold1:img_12317_pre_part_1:0,img_12317_pre_part_1.jpg,0,1,0,0.7434735166055506,0.7018184661865234,success,0.7689538491753477,0.18493838608264923,localized_low_conf
fold1:img_1235_pre_part_0:0,img_1235_pre_part_0.jpg,0,1,0,0.4317474766605544,0.6806568503379822,localization_failure,0.6939415718788762,0.09863734990358353,localized_low_conf
fold1:img_12458_pre_part_1:0,img_12458_pre_part_1.jpg,0,1,0,0.5449125881601572,0.6094757914543152,success,0.6442960715330357,0.07702603191137314,localized_low_conf
fold1:img_13538_pre_part_1:0,img_13538_pre_part_1.jpg,0,1,1,0.7515042850813993,0.6905152797698975,success,0.747948388540334,0.052805472165346146,localized_low_conf
fold1:img_1509_pre_part_1:0,img_1509_pre_part_1.jpg,0,1,1,0.7936982973177805,0.6754810214042664,success,0.7060176355736304,0.6815136075019836,success
fold1:img_15101_pre_part_1:0,img_15101_pre_part_1.jpg,0,1,0,0.5759065923106396,0.013125457800924778,localized_low_conf,0.6155176358101656,0.04417973756790161,localized_low_conf
fold1:img_15490_pre_part_1:0,img_15490_pre_part_1.jpg,0,1,0,0.6670064217034887,0.5987560749053955,success,0.7116585213547622,0.11286581307649612,localized_low_conf
fold1:img_15609_pre_part_1:0,img_15609_pre_part_1.jpg,0,1,0,0.6884416506029909,0.4689672291278839,success,0.6202405909819197,0.12268804758787155,localized_low_conf
fold1:img_15770_pre_part_1:0,img_15770_pre_part_1.jpg,0,1,0,0.46009568928934147,0.0013302622828632593,localization_failure,0.7576354292199441,0.042775802314281464,localized_low_conf
fold1:img_16871_pre_part_0:0,img_16871_pre_part_0.jpg,0,1,0,0.7763311387910165,0.43365541100502014,success,0.757692366896991,0.0831579640507698,localized_low_conf
fold1:img_19226_pre_part_0:0,img_19226_pre_part_0.jpg,0,1,1,0.695072180550945,0.7250525951385498,success,0.51566786037449,0.05009737238287926,localized_low_conf
fold1:img_2075_pre_part_1:0,img_2075_pre_part_1.jpg,0,1,0,0.8187059238739235,0.6865114569664001,success,0.8560436677673314,0.061253707855939865,localized_low_conf
fold1:img_2075_pre_part_1:1,img_2075_pre_part_1.jpg,1,1,0,0.8793499500293884,0.5492295622825623,success,0.7495406083348136,0.10840586572885513,localized_low_conf
fold1:img_2075_pre_part_1:2,img_2075_pre_part_1.jpg,2,1,0,0.7706678729945482,0.4292007386684418,success,0.7954845241878709,0.07447844743728638,localized_low_conf
fold1:img_2195_pre_part_1:0,img_2195_pre_part_1.jpg,0,1,1,0.838177477266672,0.703361451625824,success,0.8475033636377817,0.10678482055664062,localized_low_conf
fold1:img_21979_pre_part_1:0,img_21979_pre_part_1.jpg,0,1,0,0.6640197103994517,0.13397222757339478,localized_low_conf,0.8112341599993367,0.6179468631744385,success
fold1:img_22666_pre_part_1:0,img_22666_pre_part_1.jpg,0,1,0,0.7336882657278063,0.5745556354522705,success,0.5823508547250674,0.7216058969497681,success
fold1:img_2273_pre_part_1:0,img_2273_pre_part_1.jpg,0,1,1,0.7886867984064732,0.746564507484436,success,0.7945807815226459,0.7315333485603333,success
fold1:img_23458_pre_part_0:0,img_23458_pre_part_0.jpg,0,1,1,0.7420599716292728,0.7137001752853394,success,0.7366447798153863,0.7173141837120056,success
fold1:img_2538_pre_part_1:0,img_2538_pre_part_1.jpg,0,1,0,0.8605152224446021,0.004759887233376503,localized_low_conf,0.923285937098487,0.0865456610918045,localized_low_conf
fold1:img_2572_pre_part_1:0,img_2572_pre_part_1.jpg,0,1,0,0.8090229297209653,0.6912558078765869,success,0.8289439603073501,0.09330306202173233,localized_low_conf
fold1:img_2872_pre_part_1:0,img_2872_pre_part_1.jpg,0,1,0,0.5817437815541991,0.35780394077301025,success,0.5387606514647499,0.2876648008823395,success
fold1:img_3598_pre_part_0:0,img_3598_pre_part_0.jpg,0,1,0,0.7658840476203562,0.7069138884544373,success,0.7743188557776398,0.07829828560352325,localized_low_conf
fold1:img_3889_pre_part_1:0,img_3889_pre_part_1.jpg,0,1,0,0.783376625725063,0.5873434543609619,success,0.639061476058237,0.7427614331245422,success
fold1:img_5891_pre_part_1:0,img_5891_pre_part_1.jpg,0,1,0,0.6413239198994769,0.1087537333369255,localized_low_conf,0.3902559341263663,0.03155163303017616,localization_failure
