candidate_id,class_id,scale_bin,contrast_bin,morphology_bin,median_confidence,median_iou,std_confidence,std_iou,weakness_score,boundary_score,manifold_score,consensus_score,anchor_score,final_score,manifold_valid,selected,selection_group
dwbg_0_42_49_000036,0,tiny,high,elongated,0.060411978513002396,0.718706488609314,0.15789705514907837,0.3559263050556183,0.22580645161290325,0.03720606025228832,0.695311888188812,0.0766031713984969,0.01477853886644614,0.00026004573241010856,True,False,
dwbg_0_42_5_000037,0,tiny,medium,elongated,0.03590187802910805,0.0,0.02468649484217167,0.0,0.2338709677419355,0.0,0.4429176935909718,0.8838813240129043,0.09909803012084757,6.481236007630125e-14,True,False,
dwbg_0_42_50_000038,0,medium,low,compact,0.42466747760772705,0.6719474196434021,0.08971951901912689,0.017814703285694122,0.1944304435483871,0.2039376142249286,0.7413601524432346,0.5841069896229341,0.38866297009091333,0.008735752658543715,True,True,anchor
dwbg_0_42_51_000039,0,medium,low,elongated,0.17335255444049835,0.0,0.05326391011476517,0.3186546266078949,0.19997479838709675,0.0,0.7194433149711059,0.15573605129662174,0.047086723433678555,4.815758715883263e-14,True,False,
dwbg_0_42_53_000040,0,large,medium,medium,0.010486418381333351,0.5868502855300903,0.004109599627554417,0.29005759954452515,0.20161290322580647,0.0,0.7690118737191339,0.229733348756728,0.04173394264676294,6.51673278422082e-14,True,False,
dwbg_0_42_54_000041,0,tiny,high,elongated,0.0,0.0,0.03115682862699032,0.30537328124046326,0.22580645161290325,0.0,0.6896035956085752,0.18588063671966418,0.028734548165721165,5.575100463232558e-14,True,False,
dwbg_0_42_55_000042,0,tiny,medium,medium,0.0,0.0,0.0,0.0,0.23790322580645162,0.0,0.4088425162475691,1.0,0.0909299692139553,6.219198371851133e-14,True,False,
dwbg_0_42_56_000043,0,tiny,low,compact,0.0016184872947633266,0.5301457643508911,0.002543528564274311,0.27186933159828186,0.22265625,0.0,0.7328090629409313,0.2535829473951064,0.04198025913839063,7.033656592060752e-14,True,False,
dwbg_0_42_57_000044,0,medium,low,elongated,0.0043428149074316025,0.0,0.006166435778141022,0.29319456219673157,0.19997479838709675,0.0,0.6637214158198217,0.2238442033496501,0.0343786345456217,5.1159576440373586e-14,True,False,
dwbg_0_42_59_000045,0,medium,medium,compact,0.001469799899496138,0.0,0.010577409528195858,0.0,0.2001008064516129,0.0,0.5153303834554211,0.9484871402920116,0.11195268499028369,7.209301454160812e-14,True,False,
dwbg_0_42_6_000046,0,tiny,low,medium,0.0,0.0,0.0005625244812108576,0.26068538427352905,0.2322328629032258,0.0,0.5313203668429738,0.2708366130562021,0.0321236235063782,4.6807134944328776e-14,True,False,
dwbg_0_42_60_000047,0,large,low,medium,0.2395801544189453,0.5213779807090759,0.05963161960244179,0.06946275383234024,0.19594254032258066,0.8933822204435087,0.738738096012182,0.5244150294767277,0.2062158294427171,0.07607780967213565,True,True,hard
dwbg_0_42_61_000048,0,medium,low,medium,0.20009125769138336,0.6517908573150635,0.09859485924243927,0.31040385365486145,0.2040070564516129,0.5631419118751995,0.6882364104699293,0.12938102260800904,0.04102270223491277,0.01770572534014592,True,True,hard
dwbg_0_42_62_000049,0,medium,low,elongated,0.0,0.0,0.0021057387348264456,0.31588631868362427,0.19997479838709675,0.0,0.7107026361070646,0.20393371037402858,0.033027424694538954,5.410677732405157e-14,True,False,
dwbg_0_42_63_000050,0,tiny,high,elongated,0.0015418952098116279,0.6035921573638916,0.0017468431033194065,0.3398810923099518,0.22580645161290325,0.0,0.5986491504466913,0.1812025745635007,0.024449599314783334,4.4522247947615946e-14,True,False,
dwbg_0_42_64_000051,0,tiny,medium,elongated,0.008166434243321419,0.6317656636238098,0.0013768499484285712,0.021992094814777374,0.2338709677419355,0.0,0.6828265501235901,0.8897233352823352,0.13943907713775097,1.244713506932836e-13,True,False,
